id;ean;ark;titre;editeur;auteur;reference_editeur;collection;distributeur;url_couverture;date_parution;prix_ht;description;type
1;Rubber Repres;hack;deliver;Fantastic Steel Car;invoice;Dalasi;Libyan Dinar Officer capacitor;Concrete;transition;2020-11-25T23:09:43;47312;Program primary calculate;card Generic Frozen Bacon
2;Dynamic Fresh;open system;Fantastic AGP;extend;Cambridgeshire maroon program;Chicken;Practical harness end-to-end;Manager;Steel model;2020-11-25T16:06:38;6278;Computers schemas;Belize Dollar
3;Small Frozen ;transform;Bedfordshire Metal;productivity Identity XML;Legacy monitoring capacitor;Refined Fresh Car Georgia;Graphic Interface generating clicks-and-mortar;matrix;Summit;2020-11-26T08:19:14;84075;Mauritius;Auto Loan Account zero tolerance
4;Intelligent S;copying back-end functionalities;hub;deposit Steel;web-readiness;24/365 auxiliary;Savings Account grey;Savings Account;Personal Loan Account indexing;2020-11-26T01:24:33;6312;Unbranded Wooden Bike encryption;redefine Tasty Concrete Tuna
5;Frozen port a;Checking Account Licensed copying;Research;Ranch Mauritius utilize;Face to face green Iranian Rial;Small Metal Tuna Group optimize;pixel Object-based Innovative;system Berkshire;salmon Awesome;2020-11-25T22:50:13;45349;Pants Cayman Islands Dollar District;Security copying
6;Electronics M;Jewelery;Administrator;AGP multi-byte Tools;monitor Gloves;Quality;Home Loan Account;parse forecast Steel;Czech Koruna maximized EXE;2020-11-25T23:53:36;46151;Netherlands Antilles Investor Rue;Generic Concrete Pants Computer Shoes
7;Wooden Buckin;hard drive magnetic connect;Checking Account District reintermediate;Berkshire Bedfordshire iterate;Turnpike;National Practical Rubber Shoes;archive purple;maximized;solutions;2020-11-25T20:03:44;14091;New Hampshire;Indian Rupee Ngultrum SCSI JSON
8;syndicate Con;Russian Ruble;Unbranded Wooden Shirt;Personal Loan Account;Savings Account deposit;Supervisor;Regional Practical Granite Cheese Concrete;even-keeled;Buckinghamshire e-services Designer;2020-11-25T11:42:04;69433;Manager SDD Industrial;EXE Gardens orchid
9;reboot Maurit;user-centric CSS;sticky human-resource;Fantastic monitor intangible;back up;Home Loan Account Gorgeous Granite Salad Berkshire;Intelligent Plastic Chicken withdrawal Granite;Security;Beauty SAS;2020-11-26T02:29:07;33509;Soft;Incredible Alaska
10;Towels Serbia;orchestration AI purple;web services Missouri;Buckinghamshire;Iowa;Intelligent Rubber Gloves;maroon teal Avon;client-driven Borders;Bulgarian Lev Connecticut Cove;2020-11-26T00:19:13;25497;Investment Account Kuwaiti Dinar;Granite
